iter	Passed	Remaining
431	10203	13416
432	10224	13388
433	10244	13360
434	10264	13332
435	10284	13303
436	10304	13275
437	10323	13246
438	10344	13219
439	10363	13189
440	10386	13166
441	10406	13137
442	10428	13112
443	10448	13084
444	10469	13056
445	10489	13029
446	10513	13006
447	10535	12980
448	10555	12953
449	10577	12927
450	10597	12900
451	10620	12875
452	10641	12850
453	10665	12826
454	10690	12805
455	10715	12783
456	10742	12764
457	10767	12741
458	10792	12720
459	10814	12695
460	10837	12671
461	10861	12648
462	10885	12624
463	10906	12599
464	10928	12573
465	10950	12547
466	10971	12522
467	10992	12495
468	11013	12468
469	11033	12442
470	11056	12417
471	11077	12391
472	11097	12364
473	11117	12337
474	11139	12312
475	11160	12285
476	11182	12261
477	11203	12235
478	11225	12210
479	11249	12186
480	11273	12163
481	11295	12139
482	11318	12114
483	11339	12089
484	11359	12062
485	11387	12043
486	11428	12039
487	11477	12042
488	11522	12040
489	11552	12023
490	11591	12016
491	11634	12013
492	11675	12007
493	11713	11997
494	11758	11995
495	11805	11995
496	11848	11991
497	11884	11979
498	11910	11958
499	11937	11937
500	11962	11914
501	11985	11890
502	12016	11872
503	12059	11868
504	12085	11846
505	12105	11818
506	12126	11791
507	12147	11764
508	12167	11736
509	12186	11708
510	12204	11679
511	12224	11651
512	12247	11626
513	12269	11601
514	12291	11575
515	12314	11550
516	12337	11525
517	12359	11500
518	12393	11485
519	12414	11459
520	12433	11431
521	12458	11408
522	12478	11381
523	12498	11353
524	12520	11327
525	12539	11299
526	12559	11272
527	12579	11245
528	12600	11219
529	12621	11192
530	12644	11167
531	12665	11142
532	12685	11114
533	12706	11088
534	12727	11062
535	12749	11036
536	12768	11009
537	12789	10982
538	12809	10955
539	12830	10929
540	12849	10902
541	12870	10875
542	12891	10849
543	12911	10823
544	12931	10796
545	12952	10769
546	12972	10743
547	12994	10718
548	13017	10693
549	13040	10669
550	13063	10644
551	13085	10619
552	13105	10593
553	13127	10568
554	13150	10544
555	13173	10519
556	13194	10494
557	13216	10469
558	13237	10443
559	13258	10417
560	13277	10390
561	13299	10364
562	13319	10338
563	13340	10312
564	13361	10286
565	13380	10260
566	13401	10233
567	13422	10208
568	13443	10182
569	13464	10157
570	13485	10131
571	13506	10106
572	13530	10083
573	13556	10060
574	13579	10036
575	13603	10013
576	13626	9989
577	13648	9965
578	13670	9939
579	13692	9915
580	13714	9890
581	13736	9865
582	13759	9841
583	13782	9817
584	13805	9793
585	13829	9770
586	13853	9746
587	13876	9723
588	13902	9700
589	13926	9677
590	13951	9655
591	13976	9632
592	14000	9609
593	14022	9584
594	14044	9559
595	14068	9536
596	14090	9511
597	14113	9487
598	14133	9461
599	14154	9436
600	14177	9412
601	14199	9388
602	14222	9363
603	14243	9338
604	14263	9312
605	14284	9287
606	14304	9261
607	14325	9235
608	14345	9210
609	14369	9186
610	14391	9162
611	14411	9136
612	14432	9111
613	14454	9087
614	14477	9062
615	14499	9038
616	14519	9013
617	14540	8987
618	14560	8962
619	14581	8936
620	14602	8912
621	14624	8887
622	14645	8862
623	14668	8838
624	14690	8814
625	14712	8789
626	14734	8765
627	14754	8740
628	14777	8716
629	14799	8692
630	14821	8667
631	14843	8643
632	14867	8619
633	14893	8597
634	14918	8575
635	14943	8552
636	14965	8528
637	14991	8505
638	15013	8482
639	15037	8458
640	15059	8434
641	15081	8409
642	15104	8386
643	15126	8361
644	15149	8338
645	15171	8313
646	15196	8291
647	15220	8268
648	15243	8244
649	15264	8219
650	15285	8194
651	15305	8169
652	15325	8143
653	15344	8118
654	15362	8091
655	15381	8065
656	15402	8040
657	15424	8017
658	15445	7992
659	15466	7967
660	15487	7942
661	15508	7918
662	15529	7893
663	15550	7868
664	15570	7843
665	15590	7818
666	15609	7793
667	15629	7767
668	15648	7742
669	15668	7717
670	15689	7692
671	15709	7667
672	15728	7642
673	15746	7616
674	15766	7591
675	15786	7566
676	15805	7540
677	15824	7515
678	15845	7491
679	15865	7466
680	15885	7441
681	15905	7416
682	15926	7391
683	15945	7366
684	15966	7342
685	15985	7317
686	16004	7291
687	16023	7266
688	16043	7241
689	16062	7216
690	16085	7193
691	16107	7169
692	16129	7145
693	16152	7122
694	16173	7097
695	16195	7073
696	16215	7049
697	16235	7024
698	16254	6999
699	16273	6974
700	16293	6949
701	16312	6924
702	16331	6899
703	16350	6874
704	16368	6849
705	16387	6824
706	16406	6799
707	16426	6774
708	16445	6749
709	16464	6725
710	16484	6700
711	16503	6675
712	16523	6651
713	16542	6626
714	16562	6601
715	16582	6577
716	16601	6552
717	16620	6527
718	16639	6503
719	16658	6478
720	16678	6453
721	16697	6429
722	16717	6404
723	16736	6380
724	16756	6355
725	16775	6331
726	16795	6307
727	16815	6282
728	16835	6258
729	16855	6234
730	16874	6209
731	16893	6185
732	16912	6160
733	16931	6136
734	16952	6112
735	16972	6087
736	16993	6064
737	17015	6040
738	17036	6017
739	17060	5994
740	17083	5971
741	17104	5947
742	17127	5924
743	17149	5900
744	17172	5877
745	17193	5854
746	17215	5830
747	17234	5806
748	17253	5781
749	17272	5757
750	17291	5733
751	17311	5709
752	17330	5684
753	17351	5661
754	17372	5637
755	17391	5613
756	17411	5589
757	17431	5565
758	17454	5542
759	17477	5519
760	17498	5495
761	17518	5471
762	17539	5447
763	17558	5423
764	17579	5400
765	17600	5376
766	17621	5353
767	17642	5329
768	17662	5305
769	17684	5282
770	17704	5258
771	17724	5234
772	17744	5210
773	17765	5187
774	17785	5163
775	17805	5139
776	17826	5116
777	17846	5092
778	17866	5068
779	17889	5045
780	17911	5022
781	17933	4999
782	17956	4976
783	17978	4953
784	18001	4930
785	18022	4906
786	18040	4882
787	18060	4858
788	18080	4835
789	18102	4811
790	18122	4788
791	18142	4764
792	18162	4740
793	18182	4717
794	18202	4693
795	18222	4670
796	18242	4646
797	18261	4622
798	18280	4598
799	18298	4574
800	18317	4550
801	18338	4527
802	18356	4503
803	18378	4480
804	18401	4457
805	18424	4434
806	18447	4411
807	18469	4388
808	18492	4365
809	18514	4342
810	18537	4320
811	18559	4297
812	18582	4274
813	18604	4251
814	18624	4227
815	18642	4203
816	18661	4180
817	18681	4156
818	18700	4132
819	18722	4109
820	18743	4086
821	18765	4063
822	18787	4040
823	18809	4017
824	18832	3994
825	18855	3972
826	18877	3949
827	18899	3925
828	18922	3903
829	18945	3880
830	18966	3857
831	18986	3833
832	19005	3810
833	19025	3786
834	19045	3763
835	19066	3740
836	19087	3717
837	19108	3693
838	19130	3671
839	19151	3647
840	19172	3624
841	19193	3601
842	19214	3578
843	19235	3555
844	19256	3532
845	19277	3509
846	19300	3486
847	19322	3463
848	19344	3440
849	19369	3418
850	19391	3395
851	19414	3372
852	19436	3349
853	19456	3326
854	19476	3302
855	19495	3279
856	19516	3256
857	19535	3233
858	19557	3210
859	19579	3187
860	19599	3164
861	19619	3140
862	19638	3117
863	19658	3094
864	19679	3071
865	19698	3047
866	19718	3024
867	19739	3001
868	19760	2978
869	19780	2955
870	19802	2932
871	19823	2909
872	19845	2886
873	19864	2863
874	19883	2840
875	19903	2817
876	19921	2794
877	19941	2770
878	19962	2747
879	19983	2725
880	20007	2702
881	20031	2679
882	20055	2657
883	20078	2634
884	20102	2612
885	20126	2589
886	20146	2566
887	20167	2543
888	20187	2520
889	20208	2497
890	20229	2474
891	20249	2451
892	20268	2428
893	20289	2405
894	20308	2382
895	20329	2359
896	20350	2336
897	20371	2313
898	20393	2291
899	20414	2268
900	20434	2245
901	20454	2222
902	20473	2199
903	20492	2176
904	20511	2153
905	20530	2130
906	20550	2107
907	20571	2084
908	20594	2061
909	20617	2039
910	20640	2016
911	20663	1993
912	20686	1971
913	20709	1948
914	20728	1925
915	20748	1902
916	20769	1879
917	20789	1857
918	20811	1834
919	20832	1811
920	20851	1788
921	20871	1765
922	20892	1742
923	20913	1720
924	20934	1697
925	20956	1674
926	20978	1652
927	21000	1629
928	21022	1606
929	21042	1583
930	21063	1561
931	21086	1538
932	21108	1515
933	21130	1493
934	21151	1470
935	21174	1447
936	21195	1425
937	21216	1402
938	21238	1379
939	21260	1357
940	21282	1334
941	21304	1311
942	21325	1289
943	21352	1266
944	21374	1244
945	21397	1221
946	21419	1198
947	21441	1176
948	21462	1153
949	21483	1130
950	21503	1107
951	21525	1085
952	21546	1062
953	21567	1039
954	21587	1017
955	21609	994
956	21630	971
957	21651	949
958	21673	926
959	21694	903
960	21717	881
961	21740	858
962	21761	836
963	21781	813
964	21803	790
965	21825	768
966	21848	745
967	21872	723
968	21894	700
969	21917	677
970	21938	655
971	21960	632
972	21981	609
973	22004	587
974	22026	564
975	22048	542
976	22068	519
977	22090	496
978	22111	474
979	22131	451
980	22152	429
981	22173	406
982	22194	383
983	22214	361
984	22234	338
985	22255	315
986	22275	293
987	22297	270
988	22319	248
989	22362	225
990	22393	203
991	22437	180
992	22482	158
993	22532	136
994	22563	113
995	22604	90
996	22633	68
997	22685	45
998	22724	22
999	22767	0
